,0
509," Sep 30, 2021"
510," Sep 30, 2021"
511," Sep 29, 2021"
512," Sep 29, 2021"
513," Sep 29, 2021"
514," Sep 29, 2021"
515," Sep 29, 2021"
516," Sep 29, 2021"
517," Sep 28, 2021"
518," Sep 28, 2021"
519," Sep 26, 2021"
520," Sep 25, 2021"
521," Sep 25, 2021"
522," Sep 22, 2021"
523," Sep 20, 2021"
524," Sep 20, 2021"
525," Sep 16, 2021"
526," Sep 8, 2021"
527," Sep 7, 2021"
528," Sep 7, 2021"
529," Sep 7, 2021"
530," Sep 6, 2021"
531," Sep 6, 2021"
532," Sep 3, 2021"
533," Sep 3, 2021"
534," Sep 2, 2021"
535," Sep 2, 2021"
536," Aug 29, 2021"
537," Aug 29, 2021"
538," Aug 29, 2021"
539," Aug 28, 2021"
540," Aug 28, 2021"
541," Aug 25, 2021"
542," Aug 25, 2021"
543," Aug 24, 2021"
544," Aug 23, 2021"
545," Aug 20, 2021"
546," Aug 19, 2021"
547," Aug 9, 2021"
548," Aug 5, 2021"
549," Aug 4, 2021"
550," Aug 2, 2021"
551," Jul 31, 2021"
552," Jul 31, 2021"
553," Jul 31, 2021"
554," Jul 31, 2021"
555," Jul 31, 2021"
556," Jul 31, 2021"
557," Jul 31, 2021"
558," Jul 31, 2021"
559," Jul 31, 2021"
560," Jul 31, 2021"
561," Jul 30, 2021"
562," Jul 30, 2021"
563," Jul 29, 2021"
564," Jul 21, 2021"
565," Jul 21, 2021"
566," Jul 21, 2021"
567," Jul 3, 2021"
568," Jul 3, 2021"
569," Jul 3, 2021"
570," Jun 5, 2021"
571," May 8, 2021"
572," May 8, 2021"
573," Mar 12, 2021"
574," Jan 27, 2021"
575," Jan 25, 2021"
576," Jan 20, 2021"
577," Jan 5, 2021"
578," Sep 22, 2020"
579," Sep 16, 2020"
580," Sep 11, 2020"
581," Sep 7, 2020"
582," Sep 7, 2020"
583," Sep 7, 2020"
584," Sep 7, 2020"
585," Sep 3, 2020"
586," Sep 3, 2020"
587," Jun 25, 2020"
588," Jun 22, 2020"
589," Apr 17, 2020"
590," Apr 11, 2020"
591," Apr 11, 2020"
592," Apr 10, 2020"
593," Apr 10, 2020"
594," Apr 8, 2020"
595," Apr 8, 2020"
596," Apr 8, 2020"
597," Apr 4, 2020"
598," Mar 28, 2020"
599," Mar 28, 2020"
600," Oct 18, 2021"
601," Oct 18, 2021"
602," Oct 18, 2021"
603," Oct 18, 2021"
604," Oct 10, 2021"
605," Oct 7, 2021"
606," Oct 3, 2021"
607," Sep 30, 2021"
608," Sep 28, 2021"
609," Sep 28, 2021"
610," Sep 28, 2021"
611," Sep 27, 2021"
612," Sep 27, 2021"
613," Sep 26, 2021"
614," Sep 26, 2021"
615," Sep 22, 2021"
616," Sep 19, 2021"
617," Sep 17, 2021"
618," Sep 15, 2021"
619," Sep 14 , 2021"
620," Sep 11, 2021"
621," Sep 9, 2021"
622," Sep 7, 2021"
623," Sep 7, 2021"
624," Sep 6, 2021"
625," Sep 3, 2021"
626," Sep 3, 2021"
627," Sep 3, 2021"
628," Sep 3, 2021"
629," Sep 2, 2021"
630," Sep 2, 2021"
631," Sep 1, 2021"
632," Sep 1, 2021"
633," Aug 28, 2021"
634," Aug 28, 2021"
635," Aug 28, 2021"
636," Aug 28, 2021"
637," Aug 28, 2021"
638," Aug 28, 2021"
639," Aug 27, 2021"
640," Aug 27, 2021"
641," Aug 25, 2021"
642," Aug 25, 2021"
643," Aug 25, 2021"
644," Aug 25, 2021"
645," Aug 25, 2021"
646," Aug 24, 2021"
647," Aug 24, 2021"
648," Aug 24, 2021"
649," Aug 23, 2021"
650," Aug 23, 2021"
651," Aug 23, 2021"
652," Aug 22, 2021"
653," Aug 21, 2021"
654," Aug 21, 2021"
655," Aug 19, 2021"
656," Aug 18, 2021"
657," Aug 12, 2021"
658," Aug 10, 2021"
659," Aug 10, 2021"
660," Aug 8, 2021"
661," Aug 8, 2021"
662," Aug 7, 2021"
663," Aug 6, 2021"
664," Aug 6, 2021"
665," Aug 4, 2021"
666," Aug 4, 2021"
667," Aug 3, 2 021"
668," Aug 2, 2021"
669," Jul 30, 2021"
670," Jul 28, 2021"
671," Jul 26, 2021"
672," Jul 13, 2021"
673," Jul 11, 2021"
674," Jun 5, 2021"
675," Oct 15, 2020"
676," Sep 16, 2020"
677," Sep 14, 2020"
678," Sep 11, 2020"
679," Sep 11, 2020"
680," Sep 11, 2020"
681," Sep 11, 2020"
682," Sep 11, 2020"
683," Sep 11, 2020"
684," Sep 11, 2020"
685," Aug 22, 2020"
686," Jul 11, 2020"
687," Jul 11, 2020"
688," Jun 17, 2020"
689," Apr 25, 2020"
690," Apr 25, 2020"
691," Apr 17, 2020"
692," Apr 17, 2020"
693," Apr 17, 2020"
694," Apr 17, 2020"
695," Apr 12, 2020"
696," Apr 8, 2020"
697," Apr 8, 2020"
698," Apr 8, 2020"
699," Mar 27, 2020"
700," Oct 18, 2021"
701," Oct 18, 2021"
702," Oct 16, 2021"
703," Oct 15, 2021"
704," Oct 14, 20 21"
705," Oct 14, 2021"
706," Oct 7, 2021"
707," Oct 7, 2021"
708," Oct 7, 2021"
709," Oct 6, 2021"
710," Oct 4, 2021"
711," Oct 3, 2021"
712," Sep 30, 2021"
713," Sep 28, 2021"
714," Sep 22, 2021"
715," Sep 21, 2021"
716," Sep 20, 2021"
717," Sep 20, 2021"
718," Sep 16, 2021"
719," Sep 14, 2021"
720," Sep 11, 2021"
721," Sep 7, 2021"
722," Sep 7, 2021"
723," Sep 7, 2021"
724," Sep 4, 2021"
725," Sep 4, 2021"
726," Sep 4, 2021"
727," Sep 3, 2021"
728," Sep 2, 2021"
729," Sep 2, 2021"
730," Sep 2, 2021"
731," Sep 1, 2021"
732," Aug 31, 2021"
733," Aug 31, 2021"
734," Aug 31, 2021"
735," Aug 31, 2021"
736," Aug 27, 2021"
737," Aug 26, 2021"
738," Aug 26, 2021"
739," Aug 25, 2021"
740," Aug 25, 2021"
741," Aug 25, 2021"
742," Aug 25, 2021"
743," Aug 24, 2021"
744," Aug 24, 2021"
745," Aug 24, 2021"
746," Aug 23, 2021"
747," Aug 23, 2021"
748," Aug 23, 2021"
749," Aug 23, 2021"
750," Aug 23, 2021"
751," Aug 16, 2021"
752," Aug 16, 2021"
753," Aug 14, 2021"
754," Aug 13, 2021"
755," Aug 12, 2021"
756," Aug 5, 2021"
757," Aug 4, 2021"
758," Aug 4, 2021"
759," Aug 4, 2021"
760," Aug 4, 2021"
761," Aug 4, 2021"
762," Jul 31, 2021"
763," Jul 30, 2021"
764," Jul 30, 2021"
765," Jul 30, 2021"
766," Jul 30, 2021"
767," Jul 28, 2021"
768," Jul 25, 2021"
769," Jul 25, 2021"
770," Jul 25, 2021"
771," Jul 25, 2021"
772," Jul 17, 2021"
773," Jul 11, 2021"
774," Jul 7, 2021"
775," Jul 6, 2021"
776," Jul 6, 2021"
777," Jul 6, 2021"
778," Jul 3, 2021"
779," Jun 25, 2021"
780," Jun 25, 2021"
781," Jun 25, 2021"
782," Jun 25, 2021"
783," Apr 3, 2021"
784," Sep 29, 2020"
785," Sep 29, 2020"
786," Sep 23, 2020"
787," Sep 13, 2020"
788," Sep 10, 2020"
789," Sep 8, 2020"
790," Sep 7, 2020"
791," Jun 6, 2020"
792," May 1, 2020"
793," Apr 8, 2020"
794," Apr 8, 2020"
795," Apr 8, 2020"
796," Apr 8, 2020"
797," Apr 8, 2020"
798," Apr 5, 2020"
799," Mar 27, 2020"
800," Oct 11, 2021"
801," Oct 10, 2021"
802," Oct 10, 2021"
803," Oct 10, 2021"
804," Oct 7, 2021"
805," Oct 7, 2021"
806," Oct 6, 2021"
807," Oct 6, 2021"
808," Oct 6, 2021"
809," Oct 6, 2021"
810," Oct 3, 2021"
811," Oct 1, 2021"
812," Sep 30, 2021"
813," Sep 30, 2021"
814," Sep 30, 2021"
815," Sep 30, 2021"
816," Sep 30, 2021"
817," Sep 30, 2021"
818," Sep 29, 2021"
819," Sep 28, 2021"
820," Sep 25, 2021"
821," Sep 22, 2021"
822," Sep 22, 2021"
823," Sep 21, 2021"
824," Sep 21, 2021"
825," Sep 20, 2021"
826," Sep 13, 2021"
827," Sep 12, 2021"
828," Sep 9, 2021"
829," Sep 9, 2021"
830," Sep 8, 2021"
831," Sep 8, 2021"
832," Sep 8, 2021"
833," Sep 8, 2021"
834," Sep 8, 2021"
835," Sep 8, 2021"
836," Sep 8, 2021"
837," Sep 8, 2021"
838," Sep 8, 2021"
839," Sep 8, 2021"
840," Sep 8, 2021"
841," Sep 7, 2021"
842," Sep 6, 2021"
843," Sep 6, 2021"
844," Sep 6, 2021"
845," Sep 6, 2021"
846," Sep 5, 2021"
847," Sep 4, 2021"
848," Sep 4, 2021"
849," Aug 29, 2021"
850," Aug 29, 2021"
851," Aug 26, 2021"
852," Aug 25, 2021"
853," Aug 25, 2021"
854," Aug 23, 2021"
855," Aug 23, 2021"
856," Aug 23, 2021"
857," Aug 22, 2021"
858," Aug 17, 2021"
859," Aug 17, 2021"
860," Aug 14, 2021"
861," Aug 14, 2021"
862," Aug 11, 2021"
863," Aug 11, 2021"
864," Aug 10, 2021"
865," Aug 10, 2021"
866," Aug 9, 2021"
867," Aug 2, 2021"
868," Jul 31, 2021"
869," Jul 30, 2021"
870," Jul 6, 2021"
871," Jun 24, 2021"
872," Jun 13, 2021"
873," May 22, 2021"
874," May 22, 2021"
875," Jan 29, 2021"
876," Nov 28, 2020"
877," Oct 20, 2020"
878," Sep 11, 2020"
879," Sep 11, 2020"
880," Sep 11, 2020"
881," Aug 10, 2020"
882," Aug 10, 2020"
883," Aug 10, 2020"
884," Aug 10, 2020"
885," Aug 10, 2020"
886," Aug 10, 2020"
887," Aug 10, 2020"
888," Aug 10, 2020"
889," Aug 10, 2020"
890," Jun 25, 2020"
891," May 30, 2020"
892," May 25, 2020"
893," May 24, 2020"
894," Apr 24, 2020"
895," Apr 18, 2020"
896," Apr 18, 2020"
897," Apr 17, 2020"
898," Apr 3, 2020"
899," Mar 14, 2020"
900," Oct 15, 2021"
901," Oct 10, 2021"
902," Oct 8, 2021"
903," Oct 8, 2021"
904," Oct 7, 2021"
905," Oct 6, 2021"
906," Oct 4, 2021"
907," Oct 1, 2021"
908," Oct 1, 2021"
909," Sep 30, 2021"
910," Sep 29, 2021"
911," Sep 28, 2021"
912," Sep 27, 2021"
913," Sep 26, 2021"
914," Sep 26, 2021"
915," Sep 26, 2021"
916," Sep 26, 2021"
917," Sep 24, 2021"
918," Sep 24, 2021"
919," Sep 24, 2021"
920," Sep 22, 2021"
921," Sep 21, 2021"
922," Sep 20, 2021"
923," Sep 20, 2021"
924," Sep 20, 2021"
925," Sep 20, 2021"
926," Sep 20, 2021"
927," Sep 17, 2021"
928," Sep 16, 2021"
929," Sep 13, 2021"
930," Sep 13, 2021"
931," Sep 13, 2021"
932," Sep 13, 2021"
933," Sep 13, 2021"
934," Sep 9, 2021"
935," Sep 8, 2021"
936," Sep 8, 2021"
937," Sep 7, 2021"
938," Sep 7, 2021"
939," Sep 6, 2021"
940," Sep 6, 2021"
941," Sep 6, 2021"
942," Sep 6, 2021"
943," Sep 5, 2021"
944," Sep 4, 2021"
945," Sep 4, 2021"
946," Sep 4, 2021"
947," Sep 4, 2021"
948," Sep 3, 2021"
949," Sep 3, 2021"
950," Sep 3, 2021"
951," Sep 1, 2021"
952," Sep 1, 2021"
953," Sep 1, 2021"
954," Aug 31, 2021"
955," Aug 30, 2021"
956," Aug 30, 2021"
957," Aug 28, 2021"
958," Aug 28, 2021"
959," Aug 28, 2021"
960," Aug 28, 2021"
961," Aug 26, 2021"
962," Aug 26, 2021"
963," Aug 26, 2021"
964," Aug 26, 2021"
965," Aug 26, 2021"
966," Aug 25, 2021"
967," Aug 25, 2021"
968," Aug 25, 2021"
969," Aug 25, 2021"
970," Aug 19, 2021"
971," Aug 16, 2021"
972," Aug 16, 2021"
973," Aug 14, 2021"
974," Aug 13, 2021"
975," Aug 13, 2021"
976," Aug 13, 2021"
977," Aug 13, 2021"
978," Aug 7, 2021"
979," Aug 7, 2021"
980," Aug 7, 2021"
981," Aug 5, 2021"
982," Aug 5, 2021"
983," Aug 5, 2021"
984," Aug 5, 2021"
985," Aug 4, 2021"
986," Jul 29, 2021"
987," Jul 16, 2021"
988," Jul 7, 2021"
989," Jul 3, 2021"
990," Sep 13, 2020"
991," Sep 8, 2020"
992," Sep 8, 2020"
993," Sep 8, 2020"
994," Sep 7, 2020"
995," Aug 16, 2020"
996," Aug 10, 2020"
997," May 2, 2020"
998," May 2, 2020"
999," Apr 4, 2020"
1000," Oct 19, 2021"
1001," Oct 13, 2021"
1002," Oct 13, 2021"
1003," Oct 11, 2021"
1004," Oct 11, 2021"
1005," Oct 8, 2021"
1006," Oct 7, 2021"
1007," Oct 7, 2021"
1008," Oct 3, 2021"
1009," Oct 1, 2021"
1010," Oct 1, 2021"
1011," Oct 1, 2021"
1012," Oct 1, 2021"
1013," Oct 1, 2021"
1014," Sep 30, 2021"
1015," Sep 29, 2021"
1016," Sep 29, 2021"
1017," Sep 28, 2021"
1018," Sep 28, 2021"
1019," Sep 28, 2021"
1020," Sep 27, 2021"
1021," Sep 27, 2021"
1022," Sep 27, 2021"
1023," Sep 21, 2021"
1024," Sep 21, 2021"
1025," Sep 21, 2021"
1026," Sep 21, 2021"
1027," Sep 20, 2021"
1028," Sep 20, 2021"
1029," Sep 18, 2021"
1030," Sep 18, 2021"
1031," Sep 18, 2021"
1032," Sep 18, 2021"
1033," Sep 17, 2021"
1034," Sep 17, 2021"
1035," Sep 16, 2021"
1036," Sep 15, 2021"
1037," Sep 14, 2021"
1038," Sep 14, 2021"
1039," Sep 9, 2021"
1040," Sep 8, 2021"
1041," Sep 8, 2021"
1042," Sep 8, 2021"
1043," Sep 8, 2021"
1044," Sep 6, 2021"
1045," Sep 5, 2021"
1046," Sep 4, 2021"
1047," Sep 4, 2021"
1048," Sep 2, 2021"
1049," Sep 2, 2021"
1050," Sep 1, 2021"
1051," Sep 1, 2021"
1052," Aug 30, 2021"
1053," Aug 30, 2021"
1054," Aug 30, 2021"
1055," Aug 29, 2021"
1056," Aug 29, 2021"
1057," Aug 29, 2021"
1058," Aug 28, 2021"
1059," Aug 27, 2021"
1060," Aug 27, 2021"
1061," Aug 27, 2021"
1062," Aug 27, 2021"
1063," Aug 27, 2021"
1064," Aug 27, 2021"
1065," Aug 25, 2021"
1066," Aug 25, 2021"
1067," Aug 25, 2021"
1068," Aug 23, 2021"
1069," Aug 23, 2021"
1070," Aug 21, 2021"
1071," Aug 11, 2021"
